rating,title,text,timestamp,helpful_vote,verified_purchase
1,Received Used & scratched item! Purchased new!,Livid.  Once again received an obviously used item that has food on it & scratches. I purchased this new!!  Pics not loading rn. Will add them later. Disgusted.,1677373409298,1,true
5,Always works!,I ordered bags for my PANASONIC vacuum cleaner. It's a oldie but a goodie! It's done maid work and new construction jobs. Keep it clean and filters as well.,1675820743747,0,true
3,Arrived bent on one side. It would packed well and obviously didn’t happen during shipping.,Arrived bent on one side. It would packed well and obviously didn’t happen during shipping.,1672580149926,0,true
5,So fun and absolutely looks just like a real camera lens,Fantastic gift for a photographer or anyone who loves taking photos!so realistic and my son loves it!,1673115866299,0,true
5,Beautiful!!,This piece is beautiful and sturdy! The storage is roomy enough to fit blankets and various other items. The assembly was easy and I had no issues. I fell in love with this piece so much that I bought the matching TV stand and couch end table!,1675061336358,0,true
4,Does the Job without Frills,"Easy to set, easy to use and the alarm that starts low and gets louder is PERFECT for sleepers like me.  It's like the old days, again as it's easy to set and use with none of the frills most people want today.  Price was good as well.  The only reason I didn't give it 5 stars is because it doesn't work on an AM or PM mode, if you want to get up at 8:00 whether AM or in the PM, you must as an example hit the alarm button at 9:00 or else the alarm with ring anytime within that hour - you'll see what I mean if you buy this.  I still love it as it's perfect to get me up and moving.",1676753204734,0,true
5,Great purchase,Great for organizing cabinets,1673987259745,0,true
5,Great quality,I love the heaviness and quality,1673987218946,0,true
5,Works great,Works great to keep my food from splattering,1673987137100,1,true
5,As described. Quiet compared to other ones. Easy to fill.,"This humidifier works well so far. Considering some of the reviews, pretty quiet operation. Reservoir does last for a long time if ran at lower output setting (logical). Not obvious in the room compared to decor. No light in the lower priced model. Auto shutoff worked fine. As described. Hope it lasts for a while.",1673889905847,2,true
5,"Simple, cost effective, and has magnets on it to store on stove or frig",As described. Have been using this for two months. Appears very accurate so far. Might be tricky for someone with poor dexterity or large finger tips as you have to depress a button to release the probe.,1673268079209,0,true
2,Ridiculous to try to get apart,"I thought these were very expensive for some bins, but I did buy them. I am so disappointed. No one in my household can get the darn things apart. What good are they stuck together?!",1674528548935,1,true
5,Microwave,This was bought as a gift. They love it. It is mall enough for tiny spaces,1677845366734,0,true
5,KEYIGOU 13.5oz Marble Coffee Mugs,I got the KEYIGOU 13.5oz Marble Coffee Mugs as a Christmas gift for my friend and she loves it. The only issue is it’s not microwaveable. But it’s beautiful,1672810820477,0,false
5,Needed a chair.,I looked at a lot of chairs before I decided on this one. I love it.,1678914558804,0,true
5,New liner.,It is exactly what I wanted.,1678914460445,0,true
5,"Sturdy, good quality product.",The material is durable and high quality.  I love the colors.  Happy with this purchase.,1672624259043,0,true
5,Exactly as advertised,I am very happy with this purchase.  I love the quality of these jars and lids.  I love the variety of labels.  Very happy with this purchase,1672624166470,0,true
5,Winter Wonderland,The pictures don't do it justice. These snowflakes along with some fishing line and tape turned out living room into a winter wonderland. We had a Christmas eve dance party for the littles and these were so perfect with strobe lights.,1673643003013,0,true
5,Perfect for what I wanted,"These worked better than I imagined.  I needed two stilocking holders that went with the rest of my decor.  We wanted ones that lit up.  We ordered these, and hoped for the best.  They were perfect.<br /><br />They look better than the pictures.  They are battery operated.  There is a switch on the side to turn them off and on.<br /><br />Made well.",1677472592376,0,true
5,Beautiful,"Perfect fit, right out of the dryer - no wrinkles! Love it, great color",1672695137604,0,true
5,Love,Love these 2 little birds. They look great in my window with my bird houses and lanterns. Arrived well packaged and in perfect shape. Would make a cute gift for anyone.,1675438528927,3,true
2,Paper thin,Not worth the money. Very cheaply made. My son loves Naruto and that is why I bought it but they could've used a better quality blanket to manufacture these. It's terrible,1675950690160,0,true
5,averted a kitchen mishap!,"I reach up onto the top shelf of my pantry with wet hands and grabbed one of the tallest containers.  The container slipped from my wet hands and tumbled to the kitchen floor .  I expected to see the container off load its cargo of dry rice, scattering for days over and under everything.  But that wasn't what happened at all.  Container intact, lid firmly gripping the top.  Rice remained safely within the container.  Buy this and you won't  regret.<br />  Also comes with 4/5 , I forget, quarter sheets of stickers and a white marking pen.  Unbelievable.",1675385347238,7,true
5,Great little single serve coffee maker!,"cute colors and a machine which is easy to use.  You add the amount of water for each serving of coffee you want to make, plop in the kcup and 3 minutes later, you have a hot cup of coffee.  I love it.",1673267311540,1,true
5,"Deep tissue massage, easy to use!",This is one of the bests massage guns I have ever used. Iruntek has one of the most powerful machines on the market which really gets into a deep tissue massage mode. I have had shoulder/upper back pain for years and I can really get into the place that I need it most. I love the handle as I am able to do most of the massaging myself since has a tilt feature (I don't need to bother my husband). Loads of varying speeds and changeable heads so I can tailor make each massage for my own personal needs. Highly recommend this Iruntek for anyone looking for a great massage gun.,1674495756594,0,false
5,Great way to store your kpods without using much space!,"My brother bought me a small Keurig machine for Christmas. I really liked it because it was small and since I have extremely limited space here. I saw this kcup holder and I loved the idea that I could handily store the pods right at the machine without taking up additional space. This was extremely easily to install and holds all the pods easily (and they are easy to remove and replace).  Highly recommend this especially for someone, like me, with limited counter space.",1673197187326,0,false
1,Piece of junk,"This thing is a piece of junk. We've used it once, it leaks! Should have known buying something made in this country would be this poor of quality. Or I guess I should just go with a Yeti, you pay a lot but it's worth. Won't buy an Igloo anything ever again.",1676864209032,0,true
1,IT IS LIKE HAVIBG A SHEET,THIS IS A VERY CHEAP AND FILMSY ITEM. IT IS LIKE HAVING A SHEET OR A DUVET. QUALITY IS NOT GOOD. IT DEFINITELY IS EXTREMELY LIGHT WEIGHT! I CANNOT RECOMMEND THIS ITEM TO ANYONE. IF I COULD GIVE IT 0 STARS I WOULD.,1672871786792,0,false
5,Perfect perfection,My friend loved this. I have given her many stones and this one was incredible quality. It comes with a description card which is amazing and is packaged better than most things shipped.,1678551614721,1,true
5,Great rug for the price,I purchased the 5 x 7 size and very happy with color and quality.  Medium thickness but unrolled nicely.  I would recommend.,1672889237921,0,true
1,Oneida Dover Silverware not quality controlled,"I needed to replace my Oneida Marquette 18/10 Silverware. I had it for 25 years and my daughter threw forks and spoons away as she was growing up. I did not notice until I had 3 teaspoons and 5 forks out of a set of 12. So I picked out Oneida Dover, it goes really nicely with my Mikasa Remembrance fine china. I ordered the 45 piece set it comes with some serving pieces. As you will see in the photos, there were problems. Salad Forks, Dinner Forks, Knifes, Diner Spoons and teaspoons all had missing or smuggled flowers on the handles. I called Oneida customer service. They said they are not aware of the problems. I sent them the photos and they checked there stock and found the same problems. They told me to call Amazon and return the silverware. This set was made in Indonesia. I am hoping in a few months the problem will be fix. If you look at Macy's the reviews are the same thing. Since November 2022 there is this problem.  Oneida was sold to Lenox and Lenox was sold to someone else. The Molding/stamping has gone down hill.",1677190787660,0,true
2,"Tiny, hard to get ice out.","When I read this was small ice cube tray, I was expecting the ice cube holes to be small, but the entire thing is small. It will probably take all 3 to fill up my glass. I froze one to try it out,and it took forever to get the ice out of those tiny holes. My hands were freezing when I finished. I'm going to return",1677126195578,1,true
5,Love it,"I bought the black one and my neighbor loved it, so I bought him for for Christmas. Now, I'm getting my daughter the red one. My other daughter wants a teal one, but I haven't seen one like that in this brand",1676857940076,0,true
5,Comfortable,"My sister loves it! It didn't need to sit for 72 hours after opening, but we did it anyway. It is very high matress, sits up much higher than her old one. Very comfortable to her. I have to have a very soft bed. I tried this one of hers, and it's firm to me. It has a 4 inch topper on it, and it still feels firm to me. You don't sink in this matress, you are laying on top of it(if that makes sense). It's fine for her, but I wouldn't buy this for myself.",1676781255636,0,true
5,Beautiful,"Ordered these for my daughter, and she loved them",1676352949340,0,true
5,Great,Works well,1676176756953,0,true
4,It will do the job I guess,"I ended up returning but if you need a coffee pot, it will do the job. I just didn't like how it was made of cheap plastic. I don't like how you have to remove the water reservoir lid to add water. I would've liked a flip up type lid.  It will work fine if you need one, I just personally wanted something better made that's about the same price",1675362519138,2,true
3,Really cheap & wobbly,"I so wanted this to work for cupcake stand at my child's birthday party, but it is so cheap & wobbly. There is no way I can use this. Returning",1674876089256,0,true
4,Took me a while to figure out how to do it so it would hang,"This was my first time using one of this & it was a little hard for me to figure out. If you are doing a straight garland, I would put the strip up first and put a balloon in every couple of holes & then go back & fill in as needed. If you are doing big clusters, you could put balloons in first, or hang strip first, but I would still do every other hole because it makes it too full to manage with every hole filled before hanging.",1674813454801,0,true
4,One chair cover,"The item description said 50 per pack, but its only 1. I knew it was too good to be true. Just a FYI",1674520976346,0,true
3,Very thin,Was so hoping this would work. It is very thin. You definitely need a pad under it,1673313727410,1,true
3,Great for shop rags. Ugg,You get what you pay for. 🙄,1677878230719,0,true
5,Great coffee canister!,"Got this yesterday & was so impressed with the quality that I had to write a review. This canister, along with the travel canister & scoop are a great deal. The size is perfect for the countertop. I was expecting the travel canister to be larger, but it's just so darn cute that I can't complain. The travel canister holds a few ounces, so I use it for storing my amber sugar.<br /><br />I highly recommend this for all you coffee lovers out there. Great price & quality product...I'll be purchasing another for loose tea!",1677945662784,0,true
5,wooden clothes pins,"I use these wooden clothes pins for chip clips.  And these particular clothes pins are really good.  They are long and the pinch is strong.  In fact, they are the strongest wooden clothes pins I've purchased in years.  Fully recommend these no matter what your use!  Having said all of this, I never hesitate to update my reviews should new info seem useful. All of my reviews reflect my honest, personal experience with the reviewed item - your experience may be different. I am not influenced by any outside source. I receive/accept NO free products or discounts that are not available to all shoppers- ever. For some reason our shopper ranks are no longer visible - so, to give you a little more info about me, I am a top 50 reviewer (#30 the highest rank achieved). Those numbers used to fluctuate over time - up and down but I noticed that they stopped updating regularly - perhaps to phase them out. It's a shame because it did help you see who has been around the longest and who is a trustworthy reviewer.  I've been doing reviews for over 25 years with Amazon - over 6,000 reviews posted, those reviews have been viewed well over 50,000 times, including well over 25,000 likes. Bottom line, I pay for all my stuff, just like you do.",1677525493475,0,true
3,"9x13"" pans, NOT heavy duty","9x13"" so called 'heavy duty' aluminum pans. They are not what I would call heavy duty in any way.  I did use 2 on the casseroles I was making in order to be able to lift them in and out of the oven.  If you're using for something that weighs less than 1/2"" lb, you're probably ok.  But not if you're planning to make casseroles or ANYTHING with any weight.  They do come with foil lids, which, in my opinion, pretty good quality.  Can be pinched around the pan with a decent closure.  Still, they should not be called  'heavy duty.'  Having said all of this, I never hesitate to update my reviews should new info seem useful. All of my reviews reflect my honest, personal experience with the reviewed item - your experience may be different. I am not influenced by any outside source. I receive/accept NO free products or discounts that are not available to all shoppers- ever. For some reason our shopper ranks are no longer visible - so, to give you a little more info about me, I am a top 50 reviewer (#30 the highest rank achieved). Those numbers used to fluctuate over time - up and down but I noticed that they stopped updating regularly - perhaps to phase them out. It's a shame because it did help you see who has been around the longest and who is a trustworthy reviewer.  I've been doing reviews for over 25 years with Amazon - over 6,000 reviews posted, those reviews have been viewed well over 50,000 times, including well over 25,000 likes. Bottom line, I pay for all my stuff, just like you do.",1677524839534,0,true
5,Mueller 4 slice toaster,"Mueller 4 slice toaster.  I think this is one of the best toasters I have ever purchased.  Perfectly cooked toast.  Every time.  I like a medium color, not light, not burnt.  Of course the color is adjustable.  Adjustable for toast, bagels and pastries. Very efficient, even when used repeatedly.  Each time, perfectly done.  Time will of course tell.  The outer shell is stainless, toast 'pops' easily. Having said all of this, I never hesitate to update my reviews should new info seem useful. All of my reviews reflect my honest, personal experience with the reviewed item - your experience may be different. I am not influenced by any outside source. I receive/accept NO free products or discounts that are not available to all shoppers- ever. For some reason our shopper ranks are no longer visible - so, to give you a little more info about me, I am a top 50 reviewer (#30 the highest rank achieved). Those numbers used to fluctuate over time - up and down but I noticed that they stopped updating regularly - perhaps to phase them out. It's a shame because it did help you see who has been around the longest and who is a trustworthy reviewer.  I've been doing reviews for over 25 years with Amazon - over 6,000 reviews posted, those reviews have been viewed well over 50,000 times, including well over 25,000 likes. Bottom line, I pay for all my stuff, just like you do.",1677522356062,23,true
5,silicone egg poacher cups,"Silicone egg poaching cups - you get 4, multi color cups.  They are flimsy - they are silicone and thin so that your eggs can poach in a reasonable time!  I used my small sauce pan - so it sort of helped keep the cups upright, put a tiny cube of butter in each cup (my preference, great for taste and helps with the cleaning too) and then added about 1 1/2"" water into the pan.  The cups floated a tiny bit - but are held pretty well by the size of sauce pan.  You MUST use a lid.  I don't do super juicy eggs - so in about 5 minutes I had 'gel' yolk eggs - PERFECT - to me. Win!  I read a review that mentioned you don't want to wash in the dishwasher as they absorb the soap flavor, so I hand wash them - which was easy.  Honestly this cooked a perfect poached egg for me.  I would recommend them.  It does come with a cheapy oil brush - but my husband loves to 'brush pans' with a little oil when he cooks, so it'll last a little while I'm sure - it's just small and flimsy.",1676226075507,5,true
3,handcrank grater,"This grater works... on soft stuff.  3 wheels, coarse shred, fine shred and one that wide, thin slices like cucumbers or zucchini.  It will sort of 'suck' onto a smooth, clean counter - most of the time.  The bummer is - you cannot wash it in the dishwasher!  Seriously??  I am very disappointed by that and having to hand wash the sharp wheels.  Hmm.  I'm thinking of shopping one that says - ok for dishwasher!  It's a pain to hand wash.  Just sayin.  Having said all of this, I never hesitate to update my reviews should new info seem useful. All of my reviews reflect my honest, personal experience with the reviewed item - your experience may be different. I am not influenced by any outside source. I receive/accept NO free products or discounts that are not available to all shoppers- ever. For some reason our shopper ranks are no longer visible - so, to give you a little more info about me, I am a top 50 reviewer (#30 the highest rank achieved). Those numbers used to fluctuate over time - up and down but I noticed that they stopped updating regularly - perhaps to phase them out. It's a shame because it did help you see who has been around the longest and who is a trustworthy reviewer.  I've been doing reviews for over 25 years with Amazon - over 6,000 reviews posted, those reviews have been viewed well over 50,000 times, including well over 25,000 likes. Bottom line, I pay for all my stuff, just like you do.",1676171697707,3,true
3,8x8 foil pans with lids,"These are very lightweight.  I had to double them up for the casserole I made.  But - they are foil - didn't expect much. You get 10 pans, 10 lids - the lids kinda stick together and very delicate. Be careful when taking them apart. Having said all of this, I never hesitate to update my reviews should new info seem useful. All of my reviews reflect my honest, personal experience with the reviewed item - your experience may be different. I am not influenced by any outside source. I receive/accept NO free products or discounts that are not available to all shoppers- ever. For some reason our shopper ranks are no longer visible - so, to give you a little more info about me, I am a top 50 reviewer (#30 the highest rank achieved). Those numbers used to fluctuate over time - up and down but I noticed that they stopped updating regularly - perhaps to phase them out. It's a shame because it did help you see who has been around the longest and who is a trustworthy reviewer.  I've been doing reviews for over 25 years with Amazon - over 6,000 reviews posted, those reviews have been viewed well over 50,000 times, including well over 25,000 likes. Bottom line, I pay for all my stuff, just like you do.",1676171191088,0,true
